"Latin","Français"
"Caesar contendit huc","César se dirige là"
"magnis itineribus","à grandes marches"
"nocturnis diurnisque,","de-nuit et de-jour,"
"oppidoque occupato,","et la ville ayant été occupée,"
"collocat ibi præsidium.","il place là une garnison."
"XXXIX. Dum moratur","XXXIX. Tandis qu'il s'arrête"
"paucos dies","peu-de jours"
"ad Vesontionem","auprès de Besançon"
"causa rei frumentariae","en vue d'une provision de-blé"
"commeatuisque,","et de vivres,"
"ex percontatione nostrorum","à-la-suite-des questions de nos soldats"
"vocibusque Gallorum","et des paroles des Gaulois"
"ad mercatorum,","et des marchands,"
"qui prædicabant Germanos","qui racontaient les Germains"
"esse ingenti magnitudine","être d'une énorme grandeur"
"corporum,","de corps,"
"incredibili virtute","d'une incroyable valeur"
"atque exercitatione","et exercice (habileté)"
"in armis,","dans les armes,"
"sepenumero sese","souvent eux-mêmes"
"congressos cum eis","étant venus-aux-prises avec eux"
"ne potuisse quidem ferre","n'avoir pas même pu supporter"
"vultum","leur visage"
"atque aciem oculorum,","et la vivacité de leurs yeux,"
"subito tantus timor","soudain une si-grande crainte"
"occupavit","s'empara"
"ommem exercitum,","de toute armée,"
"ut perturbaret","qu'elle troublait"
"non mediocriter","non faiblement"
"mentes","les esprits"
"animosque omnium.","et les coeurs de tous."
"Hic ortus est primum","Cette crainte commença d'abord"
"a tribunis militum,","par les tribuns des soldats,"
"præfectis","les préfets de la cavalerie"
"reliquisque qui,","et le reste-de ceux qui,"
"secuti Cæsarem ex Urba","avant suivi César hors de la ville (Rome)"
"causa amicitiae,","par motif d'amitié,"
"non habebant","n'avaient pas"
"magnum usum","grand usage (grande expérience)"
"in re militari :","dans l'art militaire :"
"quorum alius","desquels l'un"
"alia causa illata,",un autre motif étant apporté;
"quam dicerent","qu'ils disaient"
"esse necessarium sibi","être indispensable à eux-mêmes"
"ad proficiscendum,","pour partir,"
"petebant ut liceret","demandaient qu'il leur fût permis"
"discedere voluntate ejus;","de se retirer avec le consentement de lui;"
"nonnulli, adducti pudore,","quelques-uns, amenés (déterminés) par la"
"remanebant,","restaient,"
"ut vitarent","pour qu'ils évitassent"
"suspicionem timoris.","le soupçon de peur."
"Hi poterant","Ceux-ci ne pouvaient"
"neque fingere vultum,","ni faire leur visage,"
"neque interdum","ni de-temps-en-temps"
"tenere lacrimas :","retenir leurs larmes:"
"abditi in tabernaculis,","cachés dans leurs tentes,"
"aut quærebantur","ou ils se plaignaient"
"suum fatum,","de leur destinée,"
"ant miserabantur","ou ils déploraient"
"cum suis familiaribus","avec leurs familiers"
"periculum commune.","leur danger commun."
"Vulgo totis castris","Ca-ét-la dans tout le camp"
"testamenta obsiguabantur.","des testaments étaient scellés."
"Paulatim etiam ii","Peu à peu même ceux"
"qui habebant","qui avaient"
"magnum usum in castris,",une grande pratique dans les camps.
"milites ceionesque,","soldats et centurions,"
"quique præerant equitati,",et ceux qui étaient-à-la-tête-de la
"perturbabantur vocibus","cava-éttaient troublés par les paroles"
"ac timore horum.","et par la crainte de ceux-ci."
"Ex his","D'entre ceux-ci"
"qui volebant","ceux qui voulurent"
"se existimari","eux-mêmes être estimés"
"minus timidos,","moins peureux,"
"dicebant","disaient"
"se non vereri hostem,","eux-mêmes ne pas redouter l'ennemi,"
"sed angustias itineris","mais les rétrécissements de la route"
"et magnitudinem silvarum","et la grande-étendue des forêts"
"quæ intercederent","qui étaient-dans-l'intervalle"
"inter ipsos","entre eux-mêmes"
"atque Arlovistum.","et Arioste."
"aut timere","ou craindre"
"rem frumentariam, ut posset supportari satis commode.","la provision de-blé, qu'elle ne put être transportée assez aisément."
"Nonnulli etiam renuntiabant Cæsari, quum jussisset castra moveri, ac signa ferri, milites non fore audientes dicto, nec laturos signa propter timorem.","Quelques-uns même rapportaient à César, quand il avait ordonné le camp être déplacé et les enseignes étroortées en avant, les soldats ne devoilèr pas être obéissants à la parole (à l'ordre), et ne devoir pas porter en avant les en-a-cause-de leur peur."
"XL. Quum animadvertisset hæc, concilio convocato, centurionibusque omnium ordinum adhibitis ad id concilium, incusavit eos vehementer :","XL. Après que il eut remarqué ces choses, le conseil ayant été convoqué, et les centurions de tous les rangs ayant été admis à ce conseil, il accusa enx vivement :"
"Primum quod putarent quærendum aut cogitandum sibi aut in quam partem aut quo consilio aut quo consilio ducerentur.","D'abord de ce que ils pensaient devoir être demandé ou devoir être pris-à-souci à (par) eux ou de quel côté ou de quel côté on dans quel dessein ils étaient menés."
"Se consule, Ariovistum","Lui-même étant consul, Arioviste"
"appatisse enpidissime amicitiam populi Romani; cur quisquam judicaret hunc discessurum ab officio tam temere?","avoir recherché très-avidement l'amitié du peuple romain; pourquoi quelqu'un jugerait-il celui-ci devoir s'éloigner de son devoir si étourdiment?"
"Persuaderi sibi quidem, suis postulatis cognitis atque equitare conditionum",Être persuadé à lui-même (César croyait) ses demandes étant connues et l'équité des conditions
"perspecta, eum repudiaturum gratiam neque suam neque populi Romani.","étant examinée, lui (Arioviste) ne devoir repousser les ni de-lui-même (César) ni du peuple romain."
"Quod si impulsum furore atque amentia, intulisset bellum, quid vererentur tandem ?","Que si poussé par la fureur et par la démence il avait apporté (apportait) la guerre, que devaient-ils craindre enfin?"
"aut cur desperant de sua virtute, aut de diligentia ipsius?","ou pourquoi désespéraient-ils de leur propre valeur, ou du zèle de lui-même (César)?"
"Periculum ejus hostis factum memoria","L'essai de cet ennemi avoir été fait"
"memoria nostrorum patrum, quum, Cimbris et Teutonis pulsis a C. Mario, exercitus videbatur meritus laudeu non minorem quam imperator ipse; factum etiam nuper in Italia tumultu servili, quos tamen usus ad disciplina quam accepiissent a nobis sublevarent aliquid.","de la mémoire (du temps) de nos pères, lorsqu', les Cimbres et les Teutons ayant été battus par C. Marius, l'armée paraissait ayant mérité une louange (gloire) non moindre que le général lui-même; cet essai avoir été fait encore récemment en Italie dans la révolte des esclaves, lesquels esclaves cependant la pratique et la discipline qu'ils avaient reçu de nous aidaient en quelque chose."
"Ex quo posset judicari quantum boni constantia haberet in sese; propterea quod superassent postea armatos ac victores hos, quos aliquandiu timuissent sine causa inermes.","D'après quoi il pouvait être jugé combien d'avantage la constance avait en elle-même; parce que ils avaient vaincu dans-la-suite quoyque armés et vainqueurs ces hommes, que quelque-temps ils avaient craints sans motif quoique sans-armés."
"Denique hos esse eosdem, quibussem sepenumero Helvetii congressi, non solum in suis finibus, sed etiam in illorum, superarint plerumque, qui tamen non potuerint esse pares nostro exercitui.","Enfin ces hommes être les mêmes, avec lesquels souvent les Helvètiens étant venus-aux-prises, non-seulement sur leur propre territoire, mais aussi sur le territoire de ceux-là, avaient été-vainqueurs le plus souvent, les Helvètiens qui cependant n'avaient pu être égaux (tenir tête) à notre armée."
"Si proelium adversum et fuga Gallorum commoveret quos, hos, si quareerent, posse reperire, Gallis defatigatis diuturnitate belli, Ariovistum, quum se tenuisset multos mensis castris ao paludibus, neque fecisset potestatem sui,","Si le combat contraire (la défaite) et la fuite des Gaulois faisait-impression-sur quelques-uns, ceux-ci, s'ils s'informaient, pouvoit découvrir, les Gaulois étant fatigués de la longue-durée de la guerre, Ariovistum, après qu'il s'était tenu pendant beaucoup-de mois dans des camps et des marais, et n'avait pas fait (donné) faculté de lui-même (de l'attaquer)."
"adortum subito","ayant assailli soudain"
"desperantes jam de pugna","qui désespéraient désormais d'une bataille"
"ac dispersos,","et dispersés,"
"vicsisse magis ratione","les avoir vaincus plutôt par système"
"et consilio","et par prudence"
"quam virtute.","que par valeur."
"Ne ipsum quidem sperare","Pas même lui (Arioviste) n'espérait"
"nostros exercitus","nos armées"
"posse capi","pouvoir être pris"
"hae, cui rationi","par ce plan, auquel plan"
"locus fuisset","lieu (occasion) avait été"
"contra homines barbaros","contre des hommes barbares"
"atque imperitos.","et inexpérimentés."
"Qui conferrent","Ceux qui reportaient"
"suum timorem","leur crainte"
"in simulationem","sur un faux-prétexte"
"rei frumentariæ","de provision de-blé"
"angustinsque itinerum,","et des rétrécissements de chemins,"
"facere arroganter,","agir présomptueusement,"
"quum viderentur","puisqu'ils paraissaient"
"ant desperare","ou désespérer"
"de officio imperatoris,",de l'accomplissement-du-devoir du général-
"aut præscribere.","ou donner-des-préceptes."
"Hæc esse curæ sibi","Ces points être à souci à lui-même;"
"Sequanos, Leucos,","les Séquaniens, les Leuces,"
"Lingonas,","les Lingons,"
"subministrare frumentum;","fournir du blé;"
"jameque frumenta matura","et déjà des blés mûrs"
"esse in agris :","être dans les champs :"
"ipsos tempore brevi","eux-mêmes dans un temps court"
"judicaturos de itinere.","devoir juger de la route."
"Se commoveri nihil ea re,","Lui-même n'être ému en rien de ce fait,"
"quod milites dicantrur","que les soldats étaient dits"
"non fore audientes dicto,","ne devoir pas être obéissants à l'ordre,"
"neque laturi signa :","et ne devoir pas porter en avant les en-"
"scire enim,","en effet lui savoir,"
"quibuscumque exercitus","tous ceux à qui une armée"
"non fuerit audiens dicto,","n'avait pas été obéissante à la parole,"
"aut, re gesta male,","ou, une affaire (bataille) ayant été con-"
"fortunam defuisse,","la fortune leur avoir manqué,"
"ant, aliquo facinore","ou, quelque crime"
"comperto,","ayant été découvert,"
"avaritiam convictam esse.","leur avarice avoir été démontrée."
"Suam innocentiam","Sa propre intégrité"
"perspectam esse","avoir été prouvée"
perspectam esse,"par toute-la-suite-de sa vie,"
"felicitatem","et son bonheur"
"bellow Helvetiorum.","par la guerre des Helvètiens."
"Itaque se representaturum","En conséquence lui-même devoir faire-"
"quod collaturus esset","ce qu'il avait du reporter"
"in diem longiorem,","à un jour plus éloigné,"
"et moturum castra","et devoir déplacer le camp"
"nocte proxima","la nuit la plus proche (suivante)"
"de quarta vigilia,","à la quatrième veille,"
"ut posset intelligere","afin qu'il pût voir"
"quamprimum","le-plus-tôt-possible"
"utrumi pudor atque officium","si l'honneur ou le devoir"
"an timor","ou bien la crainte"
"valeret apud eos.","avait-force auprès d'eux."
"Quod si præterea","Que si d'ailleurs"
"nemo sequatur,","personne ne le suivait,"
"tamen se iturum","cependant lui-même devoir marcher"
"cum decima legione sola,","avec la dixième légion seule,"
"de qua non dubitaret;","de laquelle il ne doutait pas;"
"eamque futuram sibi","et cette légion devoir être pour lui"
"cohortem prætoriam.","une cohorte prétorienne."
"Caesar et induleserat","César et s'était attaché"
"haio legioni præcipue,","à cette légion principalement,"
"et confidebat maxime","et avait-confiance le plus en elle"
"propter virtutem.","à-cause-de sa valeur."
"XLI. Hac oratione","XLI. Ce discours"
"habita,","ayant été tenu,"
"mentes omnium","les esprits de tous"
"conversæ sunt","furent changés"
"in modum mirum,","d'une façon étonnante,"
"summaque alacritas","et la plus grande ardeur"
"et cupiditas gerendi belli","et le plus grand désir de faire la guerre"
"innata est:","naquit-dans les esprits;"
"decimaque legio princeps","et la dixième légion la première"
"egit gratias ei","rendit grâces à lui"
"per tribunos militum,",par-l'intermédiaire-des tribuns des soldats
"quod fecisset de se","de ce qu'il avait fait (exprimé) sur elle"
"judicium optimum,","le jugement le meilleur,"
"confirmavitque sese","et assura elle-même"
"esse paratissimam","être très-prête"
"ad gerendum bellum.","à faire la guerre."
"Deinde reliquæ legiones","Ensuite les autres légions"
"egerunt","plaidèrent"
"per tribunos militum","par-l'intermédiaire-des tribuns des soldats"
"et centuriones","et des centurions"
"primorum ordinum,","des premiers rangs,"
"uti satisfacerent","pour qu'elles donnassent-satisfaction"
"Cæsari :","à César :"
Se neque dubitasse unquam,"Elles-mêmes et n'avoir douté jamais,"
"neque timuisse,","et n'avoir jamais craint,"
"neque existimavisse","et n'avoir pas pensé"
"judicium de summa belli","le jugement sur le point-capital de la"
"esse suum,",être leur
"sed imperatoris.","mais du général."
"Satisfactione eorum","L'excuse d'eux"
"accepta,","ayant été reçue,"
"et itinere exquisito","et la route ayant été étudiée"
"per Divitiacum,","par l'intermédiaire de Divitiacus,"
"quod habebat","parce qu'il avait"
"maximam fidem ei","la plus grande confiance en lui"
"ex Gallis,","parmi les Gaulois,"
"ut duceret exercitum","pour qu'il conduisît son armée"
"locis apertis","par des lieux découverts"
"circuitu","par un circuit"
amplius quinqueaginta mil-,"de plus de cinquante milles,"
"profectus est","il partit"
"de quarta vigilia,","à la quatrième veille,"
"ut dixerat.","comme il avait dit."
"Septimo die,","Le septième jour,"
"quum non intermitteret","comme il n'interrompait pas"
"iter,","la marche,"
"factus est certior","il fut fait mieux-informé"
"ab exploratoribus","par les éclaireurs"
"copias Ariovisti","les troupes d'Arioviste"
"abesse-a nostris","être éloignées des nôtres"
"quatuor et viginti","de quatre et vingt"
"millibus passuum.","milliers de pas."
"XLII. Adventu Cæsaris","XLII. L'arrivée de César"
"cognito,","étant connue,"
"Ariovistus mittit legatos","Arioviste envoie des députés"
ad eum:,"vers lui, disant :"
Licere per se,"""Être permis quant à lui-même"
"id quod postulasset antea","ce que César avait demandé précédemment"
"de colloquio","touchant un entretien"
"fieri,","avoir lieu,"
"quoniam accessisset","puisqu'il s'était approché"
"propius;","plus près;"
"seque existimare","et lui-même penser"
"posse facere id","pouvoir faire cela"
"sine periculo.""","sans danger. """
"Cæsar","César"
"non respuit conditionem :","ne rejeta point l'offre :"
"jamque arbitrabatur eum","et déjà il estimait lui"
"reverti ad sanitatem,","revenir à un esprit-sain,"
"quum polliceretur ultro","puisqu'il promettait spontanément"
"id quod denegasset antea","ce qu'il avait refusé précédemment"
petenti;,"à César le demandant;,
in magnam spem"
"fore uti,",devoir être que
"pro beneficiis tantis","pour les bienfaits si-grands"
"suis populique Romani","de-lui-même et du peuple romain"
"in eum,","envers lui,"
"suis postulatis cognitis,","ses demandes étant connues,"
"desisteret pertinacia.","il se désisterait de son obstination."
"Dies dictus est colloquio,","Un jour fut désigné pour l'entretien,"
"quintus eo die.","le cinquième à-partir-de ce jour-là."
"Interim quum legati","Cependant comme des députés"
"mitterentur saepe inter eos","étaient envoyés souvent entre eux"
"ultra citroque,",en-allant et en-revenant
"Ariovistus postulavit","Arioviste demanda"
"ne César","que César"
"adduceret quem peditem","n'amenât pas quelque fantassin"
"ad colloquium","à l'entretien :"
"* Se vereri","« Lui-même craindre"
"ne circumveniretur ab eo","qu'il ne fût enveloppé par lui"
"per insidias;","à-l'aide d'embauches;"
"uterque veniret","que l'un-et-l'autre vint"
"cum equitatu;","avec de la cavalerie;"
"alia ratione","d'autre façon"
"se non venturum esse.","lui-même ne devoir pas venir."
"Cæsar, quod neque volebat","César, parce que et il ne voulait pas"
"colloquium tolli","l'entretien être supprimé"
"causa interposita,","par un prétexte placé-entre eux,"
"neque audebat","et il n'osait pas"
"committere suam salutem","confier son salut"
"equitatui Gallorum,","à la cavalerie des Gaulois,"
"statuit","décida"
"commodissimum esse,","le plus commode être,"
"omnibus equis detractis","tous les chevaux ayant été retirés"
"equitibus Gallis,","aux cavaliers gaulois,"
"imponere eo","de placer là"
"milites legionarios","les soldats légionnaires"
"decima legionis,","de la dixième légion,"
"cui confidebat","à laquelle il se fiait"
"quam maxime,","le plus qu'il était possible,"
"ut, si esset opns facto","afin que, s'il était besoin d'action"
"aliquid,","en quelque chose,"
"haberet præsidium","il eut un appui aussi ami"
"quam amicissimum.","qu'il pouvait avoir le plus ami."
"Quod quum fieret,","Comme cela se faisait,"
"quidam ex militibus","un certain des soldats"
"decimæ legionis","de la dixième légion"
"dixit non irridicule","dit non d'une façon-déplaisante"
"* Cæsarem facere plus quam pollicitus esset;","* César faire plus qu'il n'avait promis;"
"pollicitum se habiturum decimam legionem","qu'il avait promis lui-même devoir avoir la dixième légion"
"in loco cohortis prætoriæ,","en place de cohorte prétorienne,"
"nunc rescribere","maintenant les inscrire-de-nouveau"
"ad equum.","pour un cheval"
,
"erat,","était,"
"et in ea tumulus terrenus satis grandis.","et dans elle un tertre de-terre assez grand."
"Hic locus aberat fere spatio æquo","Ce lieu était-éloigné"
"ab utrisque castris.","à-peu-près d'un espace égal de l'un-et-l'autre camp."
"Venerunt eo ad colloquium,",Ils vinrent là pour l'entretien
"ut dictum erat.","comme il avait été dit."
"Cæsar constituit ducentis passibus","César établit à deux-cents pas"
"ab eo tumulo legionem quam devexerat equis.","de ce tertre la légion qu'il avait amenée sur des chevaux."
"Item equites Ariovisti","De même les cavaliers d'Arioviste"
"constiterunt","s'arrêtèrent"
"pari intervallo.","à pareil intervalle."
"Ariovistus postulavit ut colloquerenturex equis,",Arioviste demanda qu'ils s'entretinssent de dessus leurs chevaux
"et adducerent","et amenassent"
"ad colloquium","à l'entretien"
"denos, præter se.","chacun dix hommes, outre eux-mêmes."
"Ubi ventum est eo,","Dès qu'on fut venu là,"
"Cæsar initio orationis","César au commencement de son discours"
"commemoravit beneficia","rappela les bienfaits"
"sua senatusque"," de-lui-même et du sénat"
"in eum :","envers lui"
"« Quod appellatus est rex a senatu,",Qu'il avait été appelé roi par le sénat
"quod amicus,","qu'il avait été appelé ami,"
"quod munera amplissima missa;","que des présents très-considérables lui avaient été envoyés;"
"quam rem docebat","laquelle chose il lui apprenait"
"et contigisse paucis,","et être échue à peu-d'hommes,"
"et consuesse tribui","et avoir-coutume d'être accordée"
"pro magnis officiis","pour les grands services"
"hominum.","de certains hommes."
,
"neque aditum, neque justam causam postulandi, consecutum ea præmia beneficio ac liberatitatem sua ac senatus.","ni accès auprès du sénat, ni juste motif de demander, avoir obtenu ces récompenses par le bienfait et la générosité de-lui-même et du sénat."
"Docebat etiam ""Quam veteres quamque justæ causæ necessitudinis intercederent ipsius cum Æduis, quæ senatusconsulta, quæ senatusconsulta, facta essent in eos ; ut omni tempore Ædui tenuissent principatum Galliæ totius, prius etiam quam appetissent nostram amicitiam ; consuetudinem populi Romani esse hanc, ut velit suos socios atque amicos non modo dependerere nihil sui, sed esse auctores gratia, dignitate, honore : quis vero posset pati id quod attulissent ad amicitiam populi Romani eripi iis? »","Il lui apprenait aussi ""Combien anciens et combien justes des motifs de liaison existaient-entre eux-mêmes(les Romains) aveo (ot) les Éduens, quels sénatus-consultes, combien-de-fois et combien honorables avaient été faits (rendus) envers eux ; comment de tout temps les Éduens avaient occupé le premier-rang de la Gaule tout-entière, avant même qu'ils eussent recherché notre amitié; la coutume du peuple romain être celle-ci, qu'il veuille ses alliés et ses amis non-seulement ne perdre rien du leur, mais être plus agrandis mais être plus agrandis en crédit, en dignité, en honneur : or qui pourrait souffrir qu'ils avaient apporté à l'amitié du peuple romain être arraché à eux ? »"
"Deinde postulavit eadem, quæ dederat legatis in mandatis : ""Ne inferret bellum ant.Eduis aut sociis eorum; redderet obsides; si posset remittere domum nullam partem Germauorum, at ne pateretur quos amplius transire Rhenum.""","Ensuite il demanda ces-mêmes choses, qu'il avait données à ses députés dans leurs instructions : ""Qu'il n'apportât pas la guerre ou aux Éduens ou aux alliés d'eux ; qu'il rendît les otages ; s'il ne pouvait renvoyer à leur demeure aucune partie des Germains, du moins qu'il ne souffrit pas quelques-uns de plus passer le Rhin."""
"XLIV. Ariovistus respondit pauca","XLIV. Ariovistus répondit peu-de mots"
"ad postulata Cæsaris;","aux demandes de César;"
"predicavit multa","il dit-avec-jactance beaucoup-de paroles"
"de suis virtutibus :","touchant ses propres traits-de-bravoure :"
"Sese transisse Rhennm","« Lui-même avoir passé le Rhin"
"non sua sponte,","non de son propre mouvement,"
"sed rogatum et arcessitum","mais prié et appelé"
"a Gallis;","par les Gaulois;"
"non reliquisse domum","ne pas avoir abandonné sa demeure"
"propinquosque","et ses proches"
"sine magna spe","sans un grand espoir"
"magnisque praemiis;","et de grands prix;"
"habere in Gallia sedes","avoir en Gaule un établissement"
"concessas ab ipsis,","concédé par les Gaulois eux-mêmes,"
"obsides datos","des otages donnés"
"voluntate ipsorum;","de la volonté d'eux-mêmes;"
"capere jure belli","percevoir par le droit de la guerre"
"stipendium","le tribut"
"quod victores consuerint","que les vainqueurs avaient-coutume"
"imponere victis;","d'imposer aux vaincus;"
"non sese intulisse bellum","non lui-même avoir apporté la guerre"
"Gallis,","aux Gaulois,"
"sed Gallos sibi;","mais les Gaulois à lui-même;"
"omnes civitates Galliae","toutes les cités de la Gaule"
"venisse","être venues"
"ad se oppugnandum,","pour l'assiéger,"
"ac habuisse castra","et avoir en des camps"
"contra se;","contre lui;"
"omnes eas copias","toutes ces troupes"
"fusas esse ac superatas","avoir été mises-en-déroute et vaincues par"
"uno proelio;","en un-seul combat;"
"si velint experiri iterum,","s'ils voulaient essayer de nouveau,"
"sese paratum","lui-même être préparé"
"decertare iterum;","à combattre de nouveau;"
"si velint uti pace,","s'ils voulaient user de la paix,"
"esse iniquum","être (il était) injuste"
"recusare de stipendio,","[le] tribut,"
"quod dependerint","de refuser au-sujet-du (qu'ils refusassent"
"ad id tempus","qu'ils avaient payé"
"sua voluntate.","jusqu'à ce temps"
"Oportere","Falloir (il fallait)"
"amicitiam populi Romani","l'amitié du peuple romain"
"esse sibi ornamento","être pour lui à ornement (un honneur)"
"et presidio,","et à (un) appui,"
"non detrimento;","non à (un) détriment;"
"seque petitse id","et lui-même avoir demandé cela (cette"
"ea spe.","dans cette espérance."
"Si stipendium remittatur","Si le tribut était remis"
"per populum Romanum,","par-l'intermédiaire-du peuple romain,"
"et ditticii subtrahantur,","et si ses sujets lui étaient soustraits,"
"sese recusaturum","lui-même devoir refuser"
"amicitiam populi Romani","l'amitié du peuple romain"
"non minus libenter","non moins volontiers"
"quam appetierit.","qu'il ne l'avait recherchée."
"Quod transducit in Galliam","Quant à ce qu'il faisait passer en Gaule"
"multitudinem","une multitude"
"Germanorum,","de Germains,"
"se facere id","lui-même faire cela"
"causa sui muniendi,","en vue de se fortifier,"
"non impugnandae Galliae;","non d'attaquer la Gaule;"
testimonium ejus rei esse,"un témoignage (une preuve), de ce fait être"
"quod non venerit,","qu'il n'était pas venu,"
"nisi rogatus, et quod","sinon prié de venir, et que"
"non intulerit bellum,","il n'avait pas apporté la guerre,"
"sed defenderit.","mais l'avait repoussée."
"Se venisse in Galliam","Lui-même être venu dans la Gaule"
"priusquam","avant que"
"populum Romanum.","le peuple romain y être venu."
"Nunquam ante hoc tempus","Jamais avant ce temps"
"exercitum populi Romani","une armée du peuple romain"
"egressum fines","n'était sorti des frontières"
"provinciae Galliae.","de la province de Gaule."
"Quid vellet sibi?","Que voulait-il pour lui-même?"
"Cur veniret","Pourquoi venait-il"
"in suas possessiones?","sur ses possessions?"
"Hanc Galliam","Cette Gaule-ci (cette partie de la Gaule)"
"esse suam provinciam,","être sa province,"
"sicut illam nostram.","comme celle-là (cette autre partie) être la"
"Ut non oporteret","Comme il ne faudrait pas"
,
"in nostros fines,","sur notre territoire,"
"si item nostros esse iniquos,","ainsi de même nous être injustes,"
"qui interpellaremus se","nous qui troublions lui-même"
"in suo jure.","dans son droit."
"Quod diceret","Quant à ce que César disait"
"At nos appellatos frates","les Édains avoir été appelés frères"
"a senatu,"," ""par le sénat"
"Se debere suspicari Cesarem, amicitia simulata, quod habeat exercitum in Gallia, habere","Se doit-il soupçonner César, amitié simulée, qu'il a un armée en Gaule, avoir"
"causa opprimendi sui. Qui nisi decedat, atque deducat exercitum ex his regionibus, sese habiturum illum non pro amico, seoro hoste;","Causa d'opprimer lui-même (Arioviste). Qui ne décède pas, et ne retire pas son armée de ces contrées, lui-même n'aura pas l'ami, mais l'ennemi;"
"quod si interfecerit eum, sese facturum esse gratum mults nobilibus principibusque populi Romani;","Quod si il interfèrera lui (César), lui-même fera une chose agréable aux nobles et aux principaux citoyens du peuple romain;"
"per nuntios eorum, quorum omnium posset redimere gratiam atque amicitiam morte ejus.","Par l'intermédiaire des messagers d'eux, desquels tous il pouvait acheter la reconnaissance et l'amitié par la mort de lui (César)."
"Quod si decessisset ac tradidisset sibi ac tradidisset sibi liberam possessionem Galliæ, se remuneraturum illum magno premio, et, quaecumque bella vellet geri,","Quod si décédait et avait laissé libre la possession de la Gaule, lui-même se remunérerait lui-même par un grand prix, et, quelles guerres il voulait être faites,"
"confecturum sine ullo labore et periculo ejus. »","Confécturerait sans aucun peine et aucun péril de lui. »"
"XLV. Multa dicta sunt a Cesare in hanc sententiam,","XLV. Beaucoup de paroles ont été dites par César dans ce sens,"
"furent dites par César dans ce sens,","furent dites par César dans ce sens,"
"quare non posset desistere negotio, et","pourquoi il ne pouvait pas se désister de l'affaire, et"
"Nec suam consuetudinem neque populi Romani","« Ni son habitude ni celle du peuple romain"
"pati uti desereret socios meritos optime;","ne souffrir qu'il abandonnât des alliés ayant mérité très-bien d'eux;"
"neque se judicare Galliam esse Ariovisti potius","et lui-même ne pas juger la Gaule être de (à) Arioviste plutôt"
"quam populi Romani.","que du (an) peuple romain."
"Arvernos et Ruthenos superatos esse bello","Les Arvernes et les Rhènes avoir été vaincus à la guerre"
"ab Q. Fabio Maximo,","par Q. Fabius Maximus,"
"quibus populus Romanus ignovisset,","peuples auxquels le peuple romain avait pardonné,"
"neque redegisset in provinciam,","et qu'il n'avait pas réduits en province,"
"neque imposuisset stipendium.","et auxquels il n'avait pas imposé de tribut."
"Quod si oporteret quodque tempus antiquissimum","Que s'il fallait chaque époque"
"antiquissimum spectari,","la plus ancienne être considérée,"
"spectari,","être considérée,"
"imperium populi Romani in Gallia","l'empire du peuple romain dans la Gaule"
"esse justissimum :","être le plus juste :"
"si oporteret","s'il fallait"
"judicium senatus observari,","le jugement du sénat être observé,"
"Galliam","la Gaule"
"debere esse liberam,","devoir être libre,"
"quam victam bello","laquelle vaincue à la guerre"
"voluisset uti suis legibus.","il avait voulu faire user de ses propres"
"XLVI. Dum haec geruntur in colloquio,",(lois. »
nuntiatum est Cæsari equites Ariovisti,"se passent dans l'entretien, il fut annoncé à César"
"accedere propius tumulum et adequitare ad nostros,","les cavaliers d'Arioviste s'avancer plus près du tertre et chevaucher vers les nôtres,"
"conjicere in nostros lapides telaque.","et jeter sur les nôtres des pierres et des traits."
"Cæsar fecit timem loquendi,","César fit la fin (cessa) de parler,"
"seque recept ad suos,","et se retira vers les siens,"
"imperavitque suis","et commanda aux siens"
"ne rejicereut","qu'ils ne lancassent-de-leur-côté"
"omnino quod telum","pas du tout quelque trait"
"in hostes.","contre les ennemis."
"Nam etsi videbat","Car bien qu'il vit"
"proelium legionis delectae","le combat d'une légion choisie"
"cum equitatu","avec (contre) de la cavalerie"
"fore sine ullo periculo,","devoir être sans aucun danger,"
"tamen putabat","cependant il pensait"
"non committendum ut,","que, ne pas devoir être risqué (qu'il ne fallait"
"hostibus pulsis,","les ennemis ayant été battus,"
"posset dicī","il pût être dit"
"eos circumventos ab se","eux avoir été enveloppés par lui-même"
"in colloquio","dans un entretien"
"per fidem.","au-moyen-de la foi donnée."
"Posteaquam elatum est","Après qu'il eut été divulgué"
"in vulgus militum","dans le commun des soldats"
"qua arrogantia usus","de quelle arrogance ayant fait-usage"
"in colloquio","dans l'entretien"
"Ariovistus","Ariovistus"
"interdixisset Romanis","avait interdit aux Romains"
"omni Gallia,","toute la Gaule,"
"equitesque ejus","et commen les cavaliers de lui"
"fecissent impetum","avaient fait irruption"
"in nostros,","sur les nôtres,"
"utque ea res","et comment cet événement"
"diremisset colloquium,","avait rompu l'entretien,"
"alacritas multo major","une ardeur beancoup plus grande"
"majusque studium","et un plus grand désir"
"pugnandi","de combattre"
"injectum est exercitu.","furent jetés-dans (inspirés à) l'armée."
"XLVII. Biduo post","XLVII. Deux-jours après"
"Ariovistus mittit legatos","Ariovistus envole des députés"
ad Cæsarem :,"à César, et fait dire :"
"« Se velle agere cum eo","« Lui-mème vouloir traiter avec lui"
"de his rebus,","touchant ces affaires,"
"quæ ceptæ essent agi","qui avaient commencé à être traitées"
"inter eos,","entre eux,"
"neque perfectæ;","et n'avaient pas été achevées;"
"uti aut iterum","que ou de nouveau"
"constitueret diem","il fixât un jour"
"colloquio;","pour l'entretien;"
